name,artist,genre,tags,distance,similarity_score
McFearless,Kings of Leon,Rock,"rock, alternative, indie, alternative_rock, indie_rock, 00s",0.04146087,0.9585391
Notion,Kings of Leon,,"rock, alternative, indie, alternative_rock, indie_rock, 00s",0.07960981,0.9203902
Wake Up,Arcade Fire,,"rock, alternative, indie, alternative_rock, indie_rock, beautiful, 00s",0.09088099,0.909119
Use Somebody,Kings of Leon,Electronic,"rock, alternative, indie, alternative_rock, indie_rock",0.09125328,0.9087467
Be Somebody,Kings of Leon,Rock,"rock, alternative, indie, alternative_rock, indie_rock, 00s",0.09352052,0.9064795
The Bucket,Kings of Leon,,"rock, alternative, indie, alternative_rock, indie_rock, 00s",0.11636889,0.8836311
Camaro,Kings of Leon,Country,"rock, indie, alternative_rock, indie_rock, male_vocalists, 00s",0.119362,0.880638
Gold Lion,Yeah Yeah Yeahs,Rock,"rock, alternative, indie, female_vocalists, alternative_rock, indie_rock",0.13072348,0.8692765
Change Your Mind,The Killers,,"rock, alternative, indie, alternative_rock, indie_rock",0.13793725,0.86206275
Guiding Light,Muse,Rock,"rock, alternative, indie, alternative_rock, progressive_rock, british, 00s",0.13915443,0.86084557
